Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
1,2239.39,14:28:00,2019/12/03,147.94,238246.104212932,7702140.58471617,-41.5140177222222,-20.7621348333333,978591.406604837,0.053423210978508,03122019_996
2,2239.41,15:12:00,2019/12/03,152.06,239573.565307303,7702482.92610916,-41.5012264166667,-20.7592304722222,978591.445776263,0.0661194771528244,03122019_996
3,2246.38,16:06:00,2019/12/03,117.3,241216.748955318,7704175.55686148,-41.4852061111111,-20.7441794166667,978598.47351828,0.077714703977108,03122019_996
4,2245.71,16:46:00,2019/12/03,129.1,243071.287960055,7702906.00950685,-41.4675946944444,-20.7558966944444,978597.809878824,0.0819737464189529,03122019_996
5,2249.62,17:13:00,2019/12/03,130.01,245332.547008984,7701802.671189,-41.4460524444444,-20.7661676111111,978601.745634736,0.0823187604546547,03122019_996
6,2197455,09:20:00,2019/12/04,106.4,244452.267575366,7703753.84314941,-41.4542171111111,-20.7484326944444,978602.914198149,0.0298134740442038,04122019_965
7,2189105,09:45:00,2019/12/04,149.3,245950.181641627,7704157.22031096,-41.4397829444444,-20.7449958611111,978594.469512903,0.0251531973481178,04122019_965
8,2196435,10:15:00,2019/12/04,108.2,246972.765212158,7705192.71097285,-41.4298198333333,-20.73578675,978601.873196458,0.019486716017127,04122019_965
9,2196.26,10:37:00,2019/12/04,105.37,246663.666961395,7705355.73252915,-41.4327625555556,-20.7342730833333,978601.692506192,0.015550022944808,04122019_965
10,2186655,11:18:00,2019/12/04,153.02,246435.741933635,7705597.82706419,-41.4349148333333,-20.7320565555556,978591.977890747,0.00941432826220989,04122019_965
11,2181.9,11:45:00,2019/12/04,186.29,246251.508974975,7705775.53699936,-41.4366570833333,-20.7304271944444,978587.168967275,0.00667742360383272,04122019_965
12,2179.57,12:05:00,2019/12/04,217.45,245999.136921298,7706055.33284931,-41.4390383888889,-20.7278669444444,978584.812755198,0.00550532247871161,04122019_965
13,2178695,12:27:00,2019/12/04,226.23,246040.319696562,7706416.07935809,-41.4385910277778,-20.7246158333333,978583.928099561,0.00516325933858752,04122019_965
14,2179875,12:55:00,2019/12/04,223.76,246194.29409128,7706773.24120638,-41.4370619166667,-20.7214124166667,978585.122121441,0.00626750476658344,04122019_965
15,2178.88,13:20:00,2019/12/04,227.42,246445.567352893,7707073.88894944,-41.4346074166667,-20.7187323888889,978584.119008012,0.00874504633247852,04122019_965
16,2174.91,13:45:00,2019/12/04,254.91,246149.398498425,7707316.61116369,-41.4374141944444,-20.7165009166667,978580.11012421,0.0125822136178613,04122019_965
17,2170.53,14:10:00,2019/12/04,282.28,245891.069911305,7707508.83760951,-41.4398651111111,-20.7147304166667,978575.6880558,0.0176627729088068,04122019_965
18,2162.94,14:36:00,2019/12/04,322.14,245489.872752166,7707723.56667464,-41.4436835277778,-20.7127372777778,978568.022641561,0.0240593031048775,04122019_965
19,2165885,14:55:00,2019/12/04,306.87,245553.491700584,7707972.19671391,-41.4430371111111,-20.7105013888889,978571.00480174,0.0292956586927176,04122019_965
