Station,Reading,Time,Date,Elevation,Height,Water,Ice,Terrain,Slope,X,Y,Longitude,Latitude,Gravity,TideCorr,Bouguer,FreeAir,Source
001,2239.39,14:28:00,2019/12/03,147.94,0,0,0,0,0,238246.104212932,7702140.58471617,-41.5140177222222,-20.7621348333333,978591.406604837,0.053423210978508,-60.4884367389453,-43.9344691207053,03122019_996
002,2239.41,15:12:00,2019/12/03,152.06,0,0,0,0,0,239573.565307303,7702482.92610916,-41.5012264166667,-20.7592304722222,978591.445776263,0.0661194771528244,-59.4651807532038,-42.4501995714438,03122019_996
003,2246.38,16:06:00,2019/12/03,117.3,0,0,0,0,0,241216.748955318,7704175.55686148,-41.4852061111111,-20.7441794166667,978598.47351828,0.077714703977108,-58.3749704577685,-45.2495114769685,03122019_996
004,2245.71,16:46:00,2019/12/03,129.1,0,0,0,0,0,243071.287960055,7702906.00950685,-41.4675946944444,-20.7558966944444,978597.809878824,0.0819737464189529,-57.417961397933,-42.972123764333,03122019_996
005,2249.62,17:13:00,2019/12/03,130.01,0,0,0,0,0,245332.547008984,7701802.671189,-41.4460524444444,-20.7661676111111,978601.745634736,0.0823187604546547,-53.9174246317956,-39.3697611868356,03122019_996
006,2197.455,09:20:00,2019/12/04,106.4,0,0,0,0,0,244452.267575366,7703753.84314941,-41.4542171111111,-20.7484326944444,978602.914198149,0.0298134740442038,-56.3325192697611,-44.4267320953611,04122019_965
007,2189.105,09:45:00,2019/12/04,149.3,0,0,0,0,0,245950.181641627,7704157.22031096,-41.4397829444444,-20.7449958611111,978594.469512903,0.0251531973481178,-56.1333845230659,-39.4272376702659,04122019_965
008,2196.435,10:15:00,2019/12/04,108.2,0,0,0,0,0,246972.765212158,7705192.71097285,-41.4298198333333,-20.73578675,978601.873196458,0.019486716017127,-56.2637818514227,-44.1565809842227,04122019_965
009,2196.26,10:37:00,2019/12/04,105.37,0,0,0,0,0,246663.666961395,7705355.73252915,-41.4327625555556,-20.7342730833333,978601.692506192,0.015550022944808,-56.910705325738,-45.120171542218,04122019_965
010,2186.655,11:18:00,2019/12/04,153.02,0,0,0,0,0,246435.741933635,7705597.82706419,-41.4349148333333,-20.7320565555556,978591.977890747,0.00941432826220989,-57.1201839011377,-39.9977820832177,04122019_965
011,2181.9,11:45:00,2019/12/04,186.29,0,0,0,0,0,246251.508974975,7705775.53699936,-41.4366570833333,-20.7304271944444,978587.168967275,0.00667742360383272,-55.2875915067061,-34.4423932668661,04122019_965
012,2179.57,12:05:00,2019/12/04,217.45,0,0,0,0,0,245999.136921298,7706055.33284931,-41.4390383888889,-20.7278669444444,978584.812755198,0.00550532247871161,-51.3617334363789,-27.0298403811789,04122019_965
013,2178.695,12:27:00,2019/12/04,226.23,0,0,0,0,0,246040.319696562,7706416.07935809,-41.4385910277778,-20.7246158333333,978583.928099561,0.00516325933858752,-50.3252137762826,-25.0108694862026,04122019_965
014,2179.875,12:55:00,2019/12/04,223.76,0,0,0,0,0,246194.29409128,7706773.24120638,-41.4370619166667,-20.7214124166667,978585.122121441,0.00626750476658344,-49.4257587574623,-24.3877988125023,04122019_965
015,2178.88,13:20:00,2019/12/04,227.42,0,0,0,0,0,246445.567352893,7707073.88894944,-41.4346074166667,-20.7187323888889,978584.119008012,0.00874504633247852,-49.548942096887,-24.101440976567,04122019_965
016,2174.91,13:45:00,2019/12/04,254.91,0,0,0,0,0,246149.398498425,7707316.61116369,-41.4374141944444,-20.7165009166667,978580.11012421,0.0125822136178613,-48.0173404160564,-19.4938046206964,04122019_965
017,2170.53,14:10:00,2019/12/04,282.28,0,0,0,0,0,245891.069911305,7707508.83760951,-41.4398651111111,-20.7147304166667,978575.6880558,0.0176627729088068,-46.9500551380016,-15.3639122471216,04122019_965
