Line;Station;longitude;latitude;gravity_mgal;LAT_RAD;height_sea_level_m;;GTEO;CAR;AR_LIVRE;CB;BG;LAT_SIRGAS;FID;INSTITUICAO;LONG_SIRGAS
2103;83;-41.1117;-20.8481;978640.2600;-0.3639;29.99;;9.7869;-0.000093;-36.663305;0.000034;-40.02;-20.8481;141;ON;-41.1117
2103;84;-40.0683;-19.4047;978588.4600;-0.3387;33.00;;9.7860;-0.000102;-3.408014;0.000037;-7.10;-19.4047;142;ON;-40.0683
2103;86;-40.3528;-20.3078;978641.8500;-0.3544;3.25;;9.7865;-0.000010;-11.248032;0.000004;-11.61;-20.3078;144;ON;-40.3528
2103;87;-40.2881;-20.2569;978638.3800;-0.3535;2.84;;9.7865;-0.000009;-11.858539;0.000003;-12.18;-20.2569;145;ON;-40.2881
2103;153;-43.9378;-19.9325;978368.6100;-0.3479;896.42;;9.7863;-0.002766;13.014512;0.001003;-87.29;-19.9325;207;ON;-43.9378
2103;154;-43.9336;-19.9161;978378.3900;-0.3476;848.48;;9.7863;-0.002618;8.948170;0.000949;-86.00;-19.9161;208;ON;-43.9336
2103;155;-43.9333;-19.9097;978385.5800;-0.3475;785.30;;9.7863;-0.002423;-2.989427;0.000879;-90.86;-19.9097;209;ON;-43.9333
2103;161;-43.8500;-20.5033;978415.9100;-0.3579;905.16;;9.7867;-0.002793;29.614867;0.001013;-71.67;-20.5033;214;ON;-43.8500
2103;168;-41.9386;-18.8553;978458.1900;-0.3291;170.31;;9.7857;-0.000526;-60.617958;0.000191;-79.68;-18.8553;220;ON;-41.9386
2103;177;-43.7856;-20.6597;978400.1500;-0.3606;994.82;;9.7867;-0.003070;32.237139;0.001113;-79.08;-20.6597;229;ON;-43.7856
2103;178;-43.7917;-20.6633;978399.6500;-0.3606;995.77;;9.7868;-0.003073;31.815863;0.001114;-79.61;-20.6633;230;ON;-43.7917
2103;184;-41.4756;-16.2228;978249.8500;-0.2831;587.31;;9.7843;-0.001812;-3.876988;0.000657;-69.60;-16.2228;236;ON;-41.4756
2103;189;-43.8633;-16.7283;978231.5800;-0.2920;655.33;;9.7846;-0.002022;-25.950692;0.000733;-99.28;-16.7283;241;ON;-43.8633
2103;190;-43.8514;-16.7264;978236.2400;-0.2919;631.92;;9.7846;-0.001950;-28.420560;0.000707;-99.13;-16.7264;242;ON;-43.8514
2103;191;-40.3539;-17.8392;978462.3700;-0.3114;103.67;;9.7852;-0.000320;-22.243071;0.000116;-33.84;-17.8392;243;ON;-40.3539
2103;192;-43.0353;-19.7667;978399.3700;-0.3450;524.61;;9.7862;-0.001619;-61.412653;0.000587;-120.12;-19.7667;244;ON;-43.0353
2103;210;-41.5000;-17.8667;978392.4900;-0.3118;334.06;;9.7852;-0.001031;-22.472234;0.000374;-59.85;-17.8667;261;ON;-41.5000
2104;na;-43.6619;-20.3550;978359.3100;-0.3553;1049.48;;9.7866;-0.003239;26.304037;0.001174;-91.13;-20.3550;1728;ON;-43.6619
2104;na;-43.6697;-20.3494;978359.5400;-0.3552;1042.64;;9.7866;-0.003218;24.752671;0.001167;-91.92;-20.3494;1733;ON;-43.6697
2104;na;-43.5897;-20.3775;978339.2000;-0.3557;1196.55;;9.7866;-0.003693;50.255368;0.001339;-83.64;-20.3775;1735;ON;-43.5897
2104;na;-43.5994;-20.3792;978348.2600;-0.3557;1151.24;;9.7866;-0.003553;45.232582;0.001288;-83.59;-20.3792;1736;ON;-43.5994
2104;na;-43.5567;-20.3719;978315.7400;-0.3556;1303.48;;9.7866;-0.004023;60.123726;0.001459;-85.74;-20.3719;1737;ON;-43.5567
2104;na;-43.5650;-20.3675;978309.1000;-0.3555;1327.25;;9.7866;-0.004096;61.078192;0.001485;-87.44;-20.3675;1738;ON;-43.5650
